Date,Open,High,Low,Close,Adj Close,Volume
18/3/2019,4.15,4.15,4.15,4.15,3.541293,0
19/3/2019,4.2,4.2,4.2,4.2,3.583959,600
20/3/2019,4.2,4.2,4.2,4.2,3.583959,35500
21/3/2019,,4.49,4.49,4.49,3.831422,100
22/3/2019,4.49,4.49,4.49,4.49,3.831422,0
25/3/2019,4.49,4.49,4.49,4.49,3.831422,0
26/3/2019,4.49,4.49,4.49,4.49,3.831422,0
27/3/2019,4.49,4.49,4.49,4.49,3.831422,0
28/3/2019,4.49,4.49,4.49,4.49,3.831422,0
29/3/2019,4.69,4.69,4.43,4.43,3.780223,800
1/4/2019,4.5,4.55,4.5,4.55,3.882623,200
2/4/2019,4.58,4.58,4.505,4.505,3.844223,3400
3/4/2019,4.56,4.56,4.56,4.56,3.891155,300
4/4/2019,4.58,4.58,4.58,4.58,3.908221,1400
5/4/2019,4.58,4.58,4.58,4.58,3.908221,0
8/4/2019,4.355,4.6,4.355,4.6,3.925289,2400
9/4/2019,4.22,4.51,4.22,4.5,3.839956,3900
10/4/2019,4.5,4.5,4.5,4.5,3.839956,0
11/4/2019,4.33,4.33,4.33,4.33,3.69489,400
12/4/2019,4.375,4.46,4.375,4.44,3.788757,23600
15/4/2019,4.44,4.44,4.44,4.44,3.788757,0
16/4/2019,4.43,4.43,4.38,4.38,3.737558,3000
17/4/2019,4.44,4.44,4.44,4.44,3.788757,100
18/4/2019,4.44,4.44,4.44,4.44,3.788757,0
22/4/2019,4.44,4.44,4.44,4.44,3.788757,0
23/4/2019,4.6,4.6,4.6,4.6,3.925289,200
24/4/2019,4.7,4.7,4.7,4.7,4.01062,200
25/4/2019,4.69,4.69,4.69,4.69,4.002088,300
26/4/2019,4.61,4.66,4.61,4.66,3.976488,700
29/4/2019,4.7,4.7,4.7,4.7,4.01062,800
30/4/2019,4.7,4.7,4.7,4.7,4.01062,200
1/5/2019,4.7,4.7,4.7,4.7,4.01062,1100
2/5/2019,4.9,4.9,4.9,4.9,4.181285,1300
3/5/2019,4.9,4.9,4.9,4.9,4.181285,0
6/5/2019,4.85,4.85,4.85,4.85,4.13862,400
7/5/2019,4.67,4.67,4.67,4.67,3.985021,100
8/5/2019,4.67,4.67,4.67,4.67,3.985021,0
9/5/2019,4.62,4.62,4.62,4.62,3.942355,500
10/5/2019,4.62,4.62,4.62,4.62,3.942355,0
13/5/2019,4.53,4.53,4.28,4.53,3.865556,1600
14/5/2019,4.53,4.53,4.53,4.53,3.865556,0
15/5/2019,4.65,4.79,4.65,4.79,4.08742,1900
16/5/2019,4.8,4.8,4.725,4.8,4.095953,23400
17/5/2019,4.82,4.82,4.82,4.82,4.11302,2900
20/5/2019,4.675,4.98,4.675,4.98,4.249551,230300
21/5/2019,4.73,4.98,4.73,4.98,4.249551,375100
22/5/2019,4.89,5.05,4.89,5.05,4.309284,3800
23/5/2019,4.96,4.96,4.96,4.96,4.232485,19700
24/5/2019,4.96,4.96,4.96,4.96,4.232485,100
28/5/2019,4.96,4.96,4.96,4.96,4.232485,600
29/5/2019,4.72,4.94,4.72,4.94,4.215419,1100
30/5/2019,4.8,4.8,4.8,4.8,4.095953,800
31/5/2019,4.8,4.8,4.8,4.8,4.095953,100
3/6/2019,4.82,4.82,4.65,4.65,3.967954,6500
4/6/2019,4.95,4.95,4.95,4.95,4.223951,800
5/6/2019,4.815,4.815,4.71,4.71,4.019155,200
6/6/2019,4.71,4.71,4.71,4.71,4.019155,100
7/6/2019,5.14,5.14,4.28,4.31,3.677825,500
10/6/2019,4.875,4.875,4.875,4.875,4.159953,500
11/6/2019,4.875,4.875,4.875,4.875,4.159953,0
12/6/2019,4.9,4.9,4.9,4.9,4.181285,1200
13/6/2019,4.9,4.9,4.9,4.9,4.181285,100
14/6/2019,4.9,4.9,4.9,4.9,4.181285,100
17/6/2019,4.93,4.93,4.93,4.93,4.206885,400
18/6/2019,4.71,4.71,4.71,4.71,4.019155,400
19/6/2019,4.74,4.74,4.74,4.74,4.044754,700
20/6/2019,4.89,4.89,4.89,4.89,4.172752,400
21/6/2019,4.905,4.94,4.87,4.87,4.155686,4200
24/6/2019,4.915,4.915,4.915,4.915,4.194085,200
25/6/2019,4.89,4.89,4.89,4.89,4.172752,500
26/6/2019,4.89,4.89,4.89,4.89,4.172752,100
27/6/2019,4.85,4.85,4.85,4.85,4.13862,500
28/6/2019,4.79,4.79,4.79,4.79,4.08742,300
1/7/2019,4.68,4.68,4.68,4.68,4.022103,900
2/7/2019,4.66,4.69,4.571,4.571,3.928427,1600
3/7/2019,4.571,4.571,4.571,4.571,3.928427,0
5/7/2019,4.665,5,4.54,5,4.297119,1400
8/7/2019,5,5,5,5,4.297119,100
9/7/2019,4.635,4.635,4.635,4.635,3.98343,200
10/7/2019,4.63,4.72,4.54,4.54,3.901784,1000
11/7/2019,4.63,4.72,4.58,4.58,3.936162,1600
12/7/2019,4.54,4.72,4.54,4.54,3.901784,3700
15/7/2019,4.71,4.71,4.625,4.71,4.047887,400
16/7/2019,4.71,4.71,4.71,4.71,4.047887,100
17/7/2019,4.71,4.71,4.71,4.71,4.047887,100
18/7/2019,4.59,4.59,4.59,4.59,3.944755,400
19/7/2019,4.63,4.63,4.63,4.63,3.979133,100
22/7/2019,4.63,4.63,4.63,4.63,3.979133,100
23/7/2019,4.65,4.65,4.65,4.65,3.996321,500
24/7/2019,4.55,4.55,4.55,4.55,3.910379,900
